SP_BS1	SP_BS2	SP_KIT	SP_BA1	SP_HALL1	SP_DR	SP_LR	SP_BA2	SP_BE2	SP_BE1	SP_BE3	SP_GA
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00	21.00
